epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.282,0.95097,1.82113,1.22212,0.86929,0.79047,0.90607,0.69005,0.92716,1.02835,1.19857,0.000332392,0.000332392,0.000332392
2,344.819,0.86409,0.99062,1.12556,0.91658,0.88259,0.96429,0.81504,0.66822,0.63305,0.99882,0.000652544,0.000652544,0.000652544
3,513.814,0.82391,0.83863,1.09216,0.97394,0.91995,0.97612,0.81948,0.69838,0.48805,0.99227,0.000959496,0.000959496,0.000959496
4,682.634,0.81478,0.77148,1.08396,0.94951,0.89518,0.95433,0.81591,0.64196,0.57543,0.96066,0.0009406,0.0009406,0.0009406
5,847.864,0.76259,0.67196,1.05356,0.98698,0.95892,0.97898,0.85664,0.59719,0.36735,0.9422,0.0009208,0.0009208,0.0009208
6,1009.88,0.74424,0.62534,1.04267,0.96546,0.93876,0.97811,0.85732,0.56925,0.38712,0.92408,0.000901,0.000901,0.000901
7,1171.5,0.72471,0.59354,1.0327,0.95781,0.92891,0.98048,0.85589,0.59907,0.3912,0.94031,0.0008812,0.0008812,0.0008812
8,1331.53,0.70758,0.56451,1.02429,0.99509,0.96901,0.98309,0.87234,0.5554,0.31798,0.9132,0.0008614,0.0008614,0.0008614
9,1491.95,0.69565,0.54713,1.01926,0.99283,0.96721,0.98154,0.87411,0.55481,0.31207,0.91636,0.0008416,0.0008416,0.0008416
10,1650.75,0.68623,0.52594,1.01155,0.99116,0.97052,0.9867,0.88146,0.54813,0.2982,0.91244,0.0008218,0.0008218,0.0008218
11,1811.86,0.67439,0.51549,1.00772,0.99491,0.96965,0.98723,0.88615,0.52899,0.30534,0.90622,0.000802,0.000802,0.000802
12,1970.4,0.66438,0.49564,1.00506,0.98332,0.96058,0.9838,0.88745,0.51725,0.29633,0.89803,0.0007822,0.0007822,0.0007822
13,2130.94,0.65529,0.48012,0.99958,0.99784,0.97392,0.98821,0.89256,0.50902,0.26563,0.8924,0.0007624,0.0007624,0.0007624
14,2292.54,0.65162,0.47405,0.9991,0.99569,0.96963,0.98909,0.89295,0.52778,0.27037,0.90101,0.0007426,0.0007426,0.0007426
15,2455.21,0.63933,0.46019,0.99526,0.9908,0.97966,0.98998,0.90017,0.49993,0.25216,0.88741,0.0007228,0.0007228,0.0007228
16,2616.48,0.63368,0.45262,0.98854,0.99031,0.97989,0.99043,0.90008,0.49682,0.24879,0.88651,0.000703,0.000703,0.000703
